#TremblGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.54510	tr|F2CRP8|F2CRP8_HORVD	0.0	558/579(96.37)	1107	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54532	tr|I1H0X8|I1H0X8_BRADI	2e-93	136/149(91.28)	281	Uncharacterized protein GN=BRADI1G49010 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.54533	tr|M0X7P1|M0X7P1_HORVD	3e-49	73/73(100.00)	163	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54534	tr|M0X7P0|M0X7P0_HORVD	3e-97	135/140(96.43)	281	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54577	tr|M0ULR5|M0ULR5_HORVD	0.0	390/428(91.12)	818	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54645	tr|F2DAN3|F2DAN3_HORVD	3e-96	146/167(87.43)	287	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54753	tr|M0YL77|M0YL77_HORVD	0.0	358/361(99.17)	716	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54800	tr|M0YEK9|M0YEK9_HORVD	0.0	473/487(97.13)	960	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54803	tr|F2CSP8|F2CSP8_HORVD	0.0	479/555(86.31)	952	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54850	tr|F2DXZ9|F2DXZ9_HORVD	1e-143	215/225(95.56)	431	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54863	tr|F2CRT0|F2CRT0_HORVD	0.0	691/724(95.44)	1434	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54897	tr|F2CQS1|F2CQS1_HORVD	0.0	394/407(96.81)	779	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54948	tr|M0UIS5|M0UIS5_HORVD	0.0	346/351(98.58)	679	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55096	tr|M0V2X0|M0V2X0_HORVD	6e-47	81/92(88.04)	161	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55165	tr|M0V8J0|M0V8J0_HORVD	0.0	354/368(96.20)	698	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55174	tr|F2DHQ9|F2DHQ9_HORVD	0.0	360/383(93.99)	735	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55242	tr|F2D7F8|F2D7F8_HORVD	0.0	330/347(95.10)	662	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55275	tr|F2E463|F2E463_HORVD	1e-112	170/185(91.89)	326	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55276	tr|F2CWS4|F2CWS4_HORVD	0.0	385/423(91.02)	769	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55320	tr|M0V076|M0V076_HORVD	1e-133	183/192(95.31)	380	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55337	tr|F2DDM6|F2DDM6_HORVD	2e-61	101/122(82.79)	206	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55500	tr|M0WZC2|M0WZC2_HORVD	1e-50	81/101(80.20)	170	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55538	tr|M0YED2|M0YED2_HORVD	0.0	285/307(92.83)	564	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55562	tr|M0V1Y0|M0V1Y0_HORVD	1e-159	222/244(90.98)	449	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55868	tr|M0UEU0|M0UEU0_HORVD	0.0	285/298(95.64)	600	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55871	tr|M0XSM0|M0XSM0_HORVD	3e-57	94/95(98.95)	186	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55951	tr|I0JTW1|I0JTW1_WHEAT	3e-65	96/107(89.72)	207	Uncharacterized protein OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.55952	tr|I0JTW1|I0JTW1_WHEAT	0.0	274/285(96.14)	558	Uncharacterized protein OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.55990	tr|F2E875|F2E875_HORVD	0.0	452/484(93.39)	905	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56016	tr|M0Y734|M0Y734_HORVD	1e-151	216/242(89.26)	438	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.56152	tr|F8WPI8|F8WPI8_WHEAT	0.0	293/297(98.65)	590	WRKY45-like transcription factor GN=TaWRKY45-B OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.56232	tr|M0YH97|M0YH97_HORVD	3e-84	126/135(93.33)	255	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.56257	tr|K7XR41|K7XR41_WHEAT	1e-178	270/352(76.70)	504	Beta-carotene hydroxylase B2 OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.56286	tr|L7P7H6|L7P7H6_TRIDB	0.0	314/320(98.12)	643	AP2 transcriptional activator DRF1.3 GN=DRF1 OS=Triticum durum (Durum wheat) PE=4 SV=1
T1_Unigene_BMK.56383	tr|F2D6E8|F2D6E8_HORVD	0.0	281/321(87.54)	540	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56408	tr|F2CV50|F2CV50_HORVD	1e-177	244/287(85.02)	499	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56418	tr|F2DLE1|F2DLE1_HORVD	0.0	307/324(94.75)	612	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56524	tr|Q41539|Q41539_WHEAT	0.0	312/321(97.20)	663	Endochitinase (Precursor) GN=CHI OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.56528	tr|M0Y3S5|M0Y3S5_HORVD	1e-52	88/100(88.00)	176	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.56576	tr|G8GWG5|G8GWG5_WHEAT	1e-150	206/208(99.04)	433	MYB13-3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.56587	tr|F2D8C9|F2D8C9_HORVD	2e-84	135/145(93.10)	254	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56591	tr|F2DEP0|F2DEP0_HORVD	0.0	308/324(95.06)	625	Carbonic anhydrase OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56618	tr|C5YY17|C5YY17_SORBI	1e-136	166/307(54.07)	329	Putative uncharacterized protein Sb09g000636 (Fragment) GN=Sb09g000636 OS=Sorghum bicolor (Sorghum) PE=4 SV=1
T1_Unigene_BMK.56665	tr|F2DRW9|F2DRW9_HORVD	0.0	421/434(97.00)	852	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56696	tr|G9DR86|G9DR86_AEGSP	1e-124	185/190(97.37)	367	MYB-related protein OS=Aegilops speltoides (Goatgrass) PE=2 SV=1
T1_Unigene_BMK.56749	tr|I1I8Q3|I1I8Q3_BRADI	1e-109	194/281(69.04)	326	Uncharacterized protein GN=BRADI3G40660 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.56815	tr|M0WPR9|M0WPR9_HORVD	1e-134	193/218(88.53)	386	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.57141	tr|A7YA60|A7YA60_HORVD	1e-142	193/201(96.02)	403	PR17c (Precursor) GN=PR-17c OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57176	tr|F2DUL0|F2DUL0_HORVD	4e-88	140/149(93.96)	277	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57198	tr|F2DW69|F2DW69_HORVD	0.0	296/302(98.01)	610	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57244	tr|J7RA72|J7RA72_HORVU	0.0	433/447(96.87)	889	Putative lysine/histidine transporter GN=HvLHT1 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.57321	tr|F2E069|F2E069_HORVD	0.0	353/363(97.25)	737	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57408	tr|F2DLV5|F2DLV5_HORVD	1e-157	231/250(92.40)	449	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57499	tr|F2E360|F2E360_HORVD	0.0	489/500(97.80)	980	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57508	tr|F2CSU8|F2CSU8_HORVD	0.0	341/356(95.79)	657	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57547	tr|M0ZE97|M0ZE97_HORVD	0.0	324/347(93.37)	628	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.57692	tr|F2DI08|F2DI08_HORVD	0.0	477/496(96.17)	1000	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57823	tr|B4ESF2|B4ESF2_HORVD	0.0	352/367(95.91)	717	Predicted protein GN=pap-14 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57835	tr|F2DAG0|F2DAG0_HORVD	0.0	311/355(87.61)	619	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57857	tr|F2DE11|F2DE11_HORVD	0.0	370/384(96.35)	741	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58024	tr|F2DDM9|F2DDM9_HORVD	0.0	413/418(98.80)	816	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58062	tr|M0YWT6|M0YWT6_HORVD	0.0	384/425(90.35)	810	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58067	tr|F2DL19|F2DL19_HORVD	7e-62	98/110(89.09)	199	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58363	tr|F2E692|F2E692_HORVD	1e-149	214/223(95.96)	432	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58393	tr|F2EJ18|F2EJ18_HORVD	0.0	275/287(95.82)	541	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58481	tr|M0WF89|M0WF89_HORVD	1e-107	162/176(92.05)	314	Uncharacterized protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58562	tr|Q70KX9|Q70KX9_HORVU	0.0	374/400(93.50)	744	Branched-chain-amino-acid aminotransferase GN=bcat-1 OS=Hordeum vulgare (Barley) PE=3 SV=2
T1_Unigene_BMK.58633	tr|F2CXB9|F2CXB9_HORVD	1e-100	152/153(99.35)	294	Histone H2B OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58666	tr|F2CSG3|F2CSG3_HORVD	1e-149	224/237(94.51)	435	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58688	tr|F2CS41|F2CS41_HORVD	1e-153	224/245(91.43)	436	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58796	tr|F2CPU0|F2CPU0_HORVD	0.0	456/492(92.68)	916	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58805	tr|F2E989|F2E989_HORVD	0.0	369/413(89.35)	743	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58968	tr|F2DUD1|F2DUD1_HORVD	0.0	384/419(91.65)	785	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59034	tr|A3FPG2|A3FPG2_HORVD	4e-85	126/149(84.56)	259	Serine/threonine protein kinase (Fragment) GN=Rpr1 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59046	tr|F2EFI8|F2EFI8_HORVD	0.0	545/672(81.10)	1070	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59137	tr|M0XMD5|M0XMD5_HORVD	0.0	419/425(98.59)	860	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59144	tr|M0XPT0|M0XPT0_HORVD	1e-139	207/219(94.52)	404	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59145	tr|M0Y821|M0Y821_HORVD	0.0	439/467(94.00)	854	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59189	tr|M0W2S3|M0W2S3_HORVD	0.0	263/282(93.26)	542	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59278	tr|M0YJE5|M0YJE5_HORVD	0.0	418/429(97.44)	814	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59320	tr|F2DLM1|F2DLM1_HORVD	0.0	286/322(88.82)	567	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59408	tr|F2ELN8|F2ELN8_HORVD	0.0	291/346(84.10)	566	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59434	tr|M0Z5S7|M0Z5S7_HORVD	0.0	292/313(93.29)	611	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59533	tr|F2DDZ8|F2DDZ8_HORVD	1e-102	164/197(83.25)	303	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59554	tr|F2CPT2|F2CPT2_HORVD	0.0	283/290(97.59)	578	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59578	tr|F2D3P3|F2D3P3_HORVD	1e-152	216/237(91.14)	434	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59605	tr|F2DSR2|F2DSR2_HORVD	0.0	318/336(94.64)	660	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59713	tr|A1YKG8|A1YKG8_BRASY	5e-58	93/101(92.08)	184	Early nodulin protein GN=57h21.33 OS=Brachypodium sylvaticum (False brome) PE=4 SV=1
T1_Unigene_BMK.59732	tr|M0Y7F1|M0Y7F1_HORVD	1e-149	221/306(72.22)	427	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59766	tr|F2CSK2|F2CSK2_HORVD	1e-112	154/159(96.86)	327	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59787	tr|M0XTK2|M0XTK2_HORVD	0.0	403/416(96.88)	795	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59895	tr|I1NRG4|I1NRG4_ORYGL	0.0	336/431(77.96)	664	Uncharacterized protein OS=Oryza glaberrima (African rice) PE=4 SV=1
T1_Unigene_BMK.59933	tr|F2DGZ9|F2DGZ9_HORVD	0.0	439/485(90.52)	932	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59952	tr|D6C5C2|D6C5C2_9POAL	1e-32	52/57(91.23)	117	Stress-induced hydrophobic peptide OS=Cleistogenes songorica PE=4 SV=1
T1_Unigene_BMK.59958	tr|A3RG96|A3RG96_WHEAT	1e-158	232/259(89.58)	452	WRKY19-b transcription factor GN=WRKY19-b OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.60008	tr|F2CQE7|F2CQE7_HORVD	1e-154	221/242(91.32)	437	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60066	tr|M0UTY2|M0UTY2_HORVD	0.0	479/501(95.61)	974	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.60072	tr|M0V458|M0V458_HORVD	3e-43	82/87(94.25)	157	Uncharacterized protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.60091	tr|M0UYW1|M0UYW1_HORVD	0.0	376/394(95.43)	747	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.60120	tr|Q5GMP4|Q5GMP4_WHEAT	0.0	319/341(93.55)	643	Peroxidase (Precursor) GN=prx OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.60121	tr|Q5I3F0|Q5I3F0_TRIMO	0.0	329/355(92.68)	653	Peroxidase 8 GN=POX8 OS=Triticum monococcum (Einkorn wheat) PE=2 SV=1
T1_Unigene_BMK.60130	tr|Q5CAL1|Q5CAL1_WHEAT	1e-174	240/240(100.00)	490	Putative glucan endo-1,3-beta-D-glucosidase (Precursor; Fragment) GN=wgluc5 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.60225	tr|I1IDY9|I1IDY9_BRADI	1e-46	114/242(47.11)	162	Uncharacterized protein GN=BRADI3G55480 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.60305	tr|F2DZH0|F2DZH0_HORVD	0.0	343/353(97.17)	666	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60334	tr|F2E415|F2E415_HORVD	0.0	396/414(95.65)	776	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60393	tr|F2D3N8|F2D3N8_HORVD	0.0	441/481(91.68)	854	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60591	tr|F2DS41|F2DS41_HORVD	0.0	308/315(97.78)	617	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60594	tr|F2D5S8|F2D5S8_HORVD	0.0	600/624(96.15)	1173	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60623	tr|F2CW02|F2CW02_HORVD	1e-158	225/241(93.36)	449	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60644	tr|C5YPB2|C5YPB2_SORBI	0.0	326/538(60.59)	704	Putative uncharacterized protein Sb08g016940 GN=Sb08g016940 OS=Sorghum bicolor (Sorghum) PE=4 SV=1
T1_Unigene_BMK.60650	tr|F2D7L5|F2D7L5_HORVD	0.0	380/424(89.62)	786	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.61009	tr|I1HC88|I1HC88_BRADI	1e-64	123/166(74.10)	214	Uncharacterized protein GN=BRADI2G03830 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.61023	tr|F2EIZ1|F2EIZ1_HORVD	6e-92	135/146(92.47)	273	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.61048	tr|M0UV31|M0UV31_HORVD	1e-53	99/157(63.06)	179	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61111	tr|I1HS83|I1HS83_BRADI	8e-26	41/44(93.18)	99.8	Uncharacterized protein GN=BRADI2G51675 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.61123	tr|M0UVR4|M0UVR4_HORVD	0.0	291/319(91.22)	567	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61238	tr|Q5QPZ4|Q5QPZ4_WHEAT	0.0	383/412(92.96)	763	Glycosyltransferase GN=a2a OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.61239	tr|M0W939|M0W939_HORVD	1e-123	173/178(97.19)	354	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61253	tr|M0X3J4|M0X3J4_HORVD	0.0	323/393(82.19)	622	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61292	tr|Q53PC9|Q53PC9_ORYSJ	0.0	557/843(66.07)	1097	Leucine Rich Repeat, putative GN=LOC_Os11g07260 OS=Oryza sativa subsp. japonica (Rice) PE=4 SV=1
T1_Unigene_BMK.61640	tr|F2DYM4|F2DYM4_HORVD	0.0	327/331(98.79)	662	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.61680	tr|M0Y132|M0Y132_HORVD	0.0	302/326(92.64)	603	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61705	tr|F2DWR4|F2DWR4_HORVD	0.0	264/288(91.67)	522	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.61796	tr|Q6V7D6|Q6V7D6_HORVS	2e-81	116/140(82.86)	252	Dehydrin 5 (Fragment) GN=Dhn5 OS=Hordeum vulgare subsp. spontaneum (Wild barley) PE=3 SV=1
T1_Unigene_BMK.61903	tr|C7IXG0|C7IXG0_ORYSJ	4e-54	102/194(52.58)	201	Os01g0630700 protein GN=Os01g0630700 OS=Oryza sativa subsp. japonica (Rice) PE=4 SV=1
T1_Unigene_BMK.62039	tr|M0W642|M0W642_HORVD	1e-155	228/278(82.01)	453	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.62059	tr|F2E3C5|F2E3C5_HORVD	0.0	285/314(90.76)	565	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.62118	tr|I3NM44|I3NM44_WHEAT	1e-76	130/140(92.86)	249	Adenylosuccinate synthetase, chloroplastic GN=PURA OS=Triticum aestivum (Wheat) PE=3 SV=1
T1_Unigene_BMK.62231	tr|Q5DM36|Q5DM36_WHEAT	1e-68	100/103(97.09)	216	NAC domain transcription factor GN=NAC69-1 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.62267	tr|F2CUF4|F2CUF4_HORVD	0.0	411/422(97.39)	795	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.62295	tr|M0X4N6|M0X4N6_HORVD	0.0	530/542(97.79)	1035	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.62324	tr|C0PJF1|C0PJF1_MAIZE	5e-13	67/213(31.46)	76.6	Uncharacterized protein OS=Zea mays (Maize) PE=2 SV=1
T1_Unigene_BMK.62412	tr|J3LGQ4|J3LGQ4_ORYBR	0.0	366/428(85.51)	724	Uncharacterized protein GN=OB02G38210 OS=Oryza brachyantha PE=3 SV=1
T1_Unigene_BMK.62440	tr|G9DR97|G9DR97_AEGSP	1e-180	258/267(96.63)	506	MYB-related protein OS=Aegilops speltoides (Goatgrass) PE=2 SV=1
T1_Unigene_BMK.62457	tr|F2CQ59|F2CQ59_HORVD	0.0	344/461(74.62)	689	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.62563	tr|M0YKK3|M0YKK3_HORVD	0.0	365/394(92.64)	706	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.62670	tr|C5XKJ1|C5XKJ1_SORBI	0.0	473/866(54.62)	813	Putative uncharacterized protein Sb03g014710 GN=Sb03g014710 OS=Sorghum bicolor (Sorghum) PE=4 SV=1
T1_Unigene_BMK.62688	tr|F2CS51|F2CS51_HORVD	0.0	296/301(98.34)	594	Pyruvate kinase OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.62888	tr|M0YBJ4|M0YBJ4_HORVD	0.0	484/522(92.72)	986	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.63185	tr|M0XTC6|M0XTC6_HORVD	0.0	461/491(93.89)	911	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.63278	tr|M0X090|M0X090_HORVD	3e-60	90/96(93.75)	191	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
