#TremblGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.59471	tr|M0XK22|M0XK22_HORVD	1e-101	149/155(96.13)	305	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59525	tr|F2CZF7|F2CZF7_HORVD	0.0	257/280(91.79)	523	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59578	tr|F2D3P3|F2D3P3_HORVD	1e-152	216/237(91.14)	434	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59799	tr|Q2LC83|Q2LC83_HORVU	0.0	415/420(98.81)	842	UDP-D-xylose epimerase 1 GN=UXE1 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.59864	tr|J7RD09|J7RD09_HORVU	2e-68	101/104(97.12)	211	Putative general amino acid permease (Fragment) GN=HvAAP13 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.59903	tr|F2E1N4|F2E1N4_HORVD	0.0	325/352(92.33)	665	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60092	tr|I1I4A7|I1I4A7_BRADI	0.0	278/357(77.87)	521	Uncharacterized protein GN=BRADI3G27550 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.60120	tr|Q5GMP4|Q5GMP4_WHEAT	0.0	319/341(93.55)	643	Peroxidase (Precursor) GN=prx OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.60208	tr|F2D488|F2D488_HORVD	0.0	340/356(95.51)	693	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60334	tr|F2E415|F2E415_HORVD	0.0	396/414(95.65)	776	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60401	tr|F2DSS1|F2DSS1_HORVD	0.0	318/337(94.36)	630	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60483	tr|F2D0D7|F2D0D7_HORVD	0.0	480/502(95.62)	981	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.60551	tr|D8L9F6|D8L9F6_WHEAT	0.0	687/699(98.28)	1416	Cellulose synthase, expressed GN=TAA_ctg0005b.00030.1 OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.60915	tr|Q9LRJ1|Q9LRJ1_WHEAT	0.0	507/509(99.61)	1018	Glucose-6-phosphate 1-dehydrogenase GN=g6pdh OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.61081	tr|M0VQA3|M0VQA3_HORVD	1e-178	269/281(95.73)	514	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61318	tr|Q8LGN5|Q8LGN5_WHEAT	1e-139	192/197(97.46)	395	Glutathione-S-transferase 19E50 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.61582	tr|M0WZF8|M0WZF8_HORVD	0.0	1105/1396(79.15)	2169	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61596	tr|F2EL56|F2EL56_HORVD	0.0	291/351(82.91)	553	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.61676	tr|F2D6Z7|F2D6Z7_HORVD	1e-147	214/222(96.40)	431	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.61717	tr|M0YXC5|M0YXC5_HORVD	0.0	368/408(90.20)	758	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61723	tr|M0Y7W3|M0Y7W3_HORVD	0.0	433/436(99.31)	921	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.61734	tr|Q50HU6|Q50HU6_WHEAT	0.0	523/528(99.05)	1055	Glycosyltransferase 43 GN=pglcat8 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.62048	tr|M0VD85|M0VD85_HORVD	0.0	533/557(95.69)	1087	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.62131	tr|M0UU15|M0UU15_HORVD	1e-156	241/279(86.38)	465	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.62231	tr|Q5DM36|Q5DM36_WHEAT	1e-68	100/103(97.09)	216	NAC domain transcription factor GN=NAC69-1 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.62236	tr|I1IV66|I1IV66_BRADI	0.0	407/509(79.96)	812	Uncharacterized protein GN=BRADI4G44860 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.62375	tr|B5M6A1|B5M6A1_WHEAT	0.0	459/461(99.57)	903	3-phosphoshikimate 1-carboxyvinyltransferase OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.62440	tr|G9DR97|G9DR97_AEGSP	1e-180	258/267(96.63)	506	MYB-related protein OS=Aegilops speltoides (Goatgrass) PE=2 SV=1
T1_Unigene_BMK.62528	tr|F2E0B2|F2E0B2_HORVD	0.0	450/480(93.75)	941	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.62632	tr|F2D532|F2D532_HORVD	0.0	423/438(96.58)	882	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.62648	tr|F2CS24|F2CS24_HORVD	0.0	505/550(91.82)	1014	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.62667	tr|Q58A30|Q58A30_WHEAT	0.0	527/528(99.81)	1057	P450 GN=CYP71C6v3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.62955	tr|M0V452|M0V452_HORVD	0.0	333/368(90.49)	695	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.62961	tr|G8IPQ3|G8IPQ3_WHEAT	0.0	403/405(99.51)	821	Metacaspase 4 GN=MCA4 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.63043	tr|F2CQR3|F2CQR3_HORVD	3e-62	101/108(93.52)	200	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.63128	tr|M0W7C8|M0W7C8_HORVD	0.0	532/549(96.90)	1033	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.63156	tr|A7VL25|A7VL25_WHEAT	1e-120	177/177(100.00)	344	Group3 late embryogenesis abundant protein GN=Wrab17 OS=Triticum aestivum (Wheat) PE=4 SV=1
T1_Unigene_BMK.63217	tr|M0UHQ7|M0UHQ7_HORVD	1e-173	257/277(92.78)	509	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.63278	tr|M0X090|M0X090_HORVD	3e-60	90/96(93.75)	191	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.63329	tr|F2DDS3|F2DDS3_HORVD	0.0	320/360(88.89)	588	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.63478	tr|F2DQV2|F2DQV2_HORVD	1e-113	162/164(98.78)	332	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.63542	tr|I1HGP5|I1HGP5_BRADI	0.0	334/372(89.78)	656	Uncharacterized protein GN=BRADI2G17260 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.63682	tr|F2D188|F2D188_HORVD	0.0	608/647(93.97)	1182	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.63899	tr|F2D692|F2D692_HORVD	0.0	294/297(98.99)	593	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.64190	tr|F2CRY5|F2CRY5_HORVD	0.0	544/581(93.63)	1130	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.64309	tr|M0UF93|M0UF93_HORVD	0.0	419/437(95.88)	852	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.64342	tr|M0US45|M0US45_HORVD	0.0	319/326(97.85)	647	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.64464	tr|M0XU77|M0XU77_HORVD	0.0	548/579(94.65)	1114	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.64549	tr|I1HU83|I1HU83_BRADI	0.0	422/491(85.95)	897	Uncharacterized protein GN=BRADI2G57640 OS=Brachypodium distachyon (Purple false brome) PE=3 SV=1
T1_Unigene_BMK.64607	tr|F2DE79|F2DE79_HORVD	0.0	346/362(95.58)	709	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.64626	tr|I1GQM5|I1GQM5_BRADI	0.0	449/491(91.45)	877	Uncharacterized protein GN=BRADI1G15680 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.64651	tr|F2DN27|F2DN27_HORVD	1e-139	212/233(90.99)	402	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.64664	tr|M0W054|M0W054_HORVD	0.0	302/307(98.37)	588	Uncharacterized protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.64686	tr|F2E0F1|F2E0F1_HORVD	0.0	541/551(98.19)	1042	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.64787	tr|M0XB53|M0XB53_HORVD	0.0	327/348(93.97)	658	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.64914	tr|F2D1I3|F2D1I3_HORVD	0.0	458/473(96.83)	899	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.64998	tr|F2DV27|F2DV27_HORVD	3e-54	84/89(94.38)	176	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.65055	tr|I1I3L2|I1I3L2_BRADI	0.0	451/482(93.57)	897	Uncharacterized protein GN=BRADI3G23160 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.65222	tr|Q7X9M0|Q7X9M0_WHEAT	4e-36	55/55(100.00)	126	Metallothionein (Fragment) OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.65270	tr|M0XBI8|M0XBI8_HORVD	0.0	256/313(81.79)	520	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.65413	tr|Q339R1|Q339R1_ORYSJ	3e-08	32/77(41.56)	55.5	cDNA clone:001-107-D08, full insert sequence GN=LOC_Os10g19200 OS=Oryza sativa subsp. japonica (Rice) PE=4 SV=1
T1_Unigene_BMK.65539	tr|F2DKQ1|F2DKQ1_HORVD	0.0	362/387(93.54)	692	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.65556	tr|C5Y093|C5Y093_SORBI	0.0	330/384(85.94)	674	Putative uncharacterized protein Sb04g030310 GN=Sb04g030310 OS=Sorghum bicolor (Sorghum) PE=3 SV=1
T1_Unigene_BMK.65690	tr|A9U8G8|A9U8G8_TRITU	0.0	379/379(100.00)	776	Alcohol dehydrogenase ADH1A OS=Triticum turgidum subsp. dicoccon PE=2 SV=1
T1_Unigene_BMK.65694	tr|F2DDP7|F2DDP7_HORVD	0.0	428/431(99.30)	835	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.65817	tr|F2CU71|F2CU71_HORVD	0.0	616/663(92.91)	1238	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.65905	tr|F2DNX3|F2DNX3_HORVD	0.0	561/579(96.89)	1162	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.66712	tr|I1HN09|I1HN09_BRADI	1e-61	90/93(96.77)	200	Uncharacterized protein GN=BRADI2G39320 OS=Brachypodium distachyon (Purple false brome) PE=3 SV=1
T1_Unigene_BMK.66751	tr|F2DFD7|F2DFD7_HORVD	2e-97	142/143(99.30)	296	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.66759	tr|F2DZX7|F2DZX7_HORVD	0.0	450/475(94.74)	883	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.66873	tr|F2D9U6|F2D9U6_HORVD	0.0	437/484(90.29)	874	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.66947	tr|Q8RUL3|Q8RUL3_WHEAT	0.0	518/523(99.04)	1060	Sucrose transporter SUT1D OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.67113	tr|F2D4V1|F2D4V1_HORVD	1e-115	178/195(91.28)	353	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.67257	tr|M0VM74|M0VM74_HORVD	1e-159	218/219(99.54)	462	Uncharacterized protein GN=Cel5 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.67425	tr|M0YQZ8|M0YQZ8_HORVD	0.0	695/737(94.30)	1358	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.67434	tr|F2DH34|F2DH34_HORVD	0.0	479/497(96.38)	949	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.67653	tr|F2DJR2|F2DJR2_HORVD	0.0	434/523(82.98)	877	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.67799	tr|F2CSG2|F2CSG2_HORVD	0.0	258/268(96.27)	538	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.68518	tr|F1DKC1|F1DKC1_WHEAT	0.0	494/494(100.00)	1052	Catalase GN=CAT3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.68648	tr|M0W4X3|M0W4X3_HORVD	1e-105	155/157(98.73)	318	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.68686	tr|Q84XZ4|Q84XZ4_WHEAT	0.0	637/640(99.53)	1301	Mitogen-activated protein kinase GN=FLR OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.68958	tr|I1GKS1|I1GKS1_BRADI	0.0	647/901(71.81)	1238	Uncharacterized protein GN=BRADI1G01377 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.69025	tr|M0XKJ9|M0XKJ9_HORVD	0.0	800/848(94.34)	1593	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.69355	tr|F2DF59|F2DF59_HORVD	0.0	392/425(92.24)	813	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.69556	tr|M0Z2T7|M0Z2T7_HORVD	1e-149	231/379(60.95)	433	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.69659	tr|F2CXP5|F2CXP5_HORVD	0.0	373/415(89.88)	716	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.69788	tr|F2E6J2|F2E6J2_HORVD	0.0	573/577(99.31)	1158	Sucrose synthase OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.69810	tr|M0XRX1|M0XRX1_HORVD	0.0	721/750(96.13)	1480	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.69826	tr|F2DRE3|F2DRE3_HORVD	0.0	698/712(98.03)	1404	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.69970	tr|M0Y1H7|M0Y1H7_HORVD	0.0	290/302(96.03)	575	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.70190	tr|F2DAT4|F2DAT4_HORVD	0.0	910/1017(89.48)	1753	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.70302	tr|M0Y1J5|M0Y1J5_HORVD	0.0	906/967(93.69)	1816	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.70408	tr|M0XI49|M0XI49_HORVD	0.0	698/728(95.88)	1385	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.70436	tr|F2E609|F2E609_HORVD	0.0	671/715(93.85)	1334	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.70635	tr|F1DTB8|F1DTB8_WHEAT	0.0	597/730(81.78)	1216	Lipoxygenase GN=LOX3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.71043	tr|F2E3W0|F2E3W0_HORVD	0.0	733/775(94.58)	1431	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.71104	tr|I1GNZ3|I1GNZ3_BRADI	0.0	881/1004(87.75)	1723	Uncharacterized protein GN=BRADI1G10660 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.71202	tr|F4ZC54|F4ZC54_HORVD	0.0	315/318(99.06)	648	Trehalose-6-phosphate synthase 2 (Fragment) GN=TPS2 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.71325	tr|Q6S349|Q6S349_HORVU	0.0	753/771(97.67)	1554	Putative cellulose synthase catalytic subunit GN=CesA6 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.71598	tr|M0XAA9|M0XAA9_HORVD	0.0	888/909(97.69)	1807	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.71859	tr|Q8VYX1|Q8VYX1_WHEAT	0.0	498/498(100.00)	1016	Phosphoethanolamine methyltransferase OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.72139	tr|M0WFS1|M0WFS1_HORVD	0.0	499/669(74.59)	1010	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.72226	tr|F2DRQ3|F2DRQ3_HORVD	0.0	1025/1092(93.86)	2173	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.72351	tr|Q84L52|Q84L52_HORVD	2e-39	57/62(91.94)	134	Metallothionein-like protein type 3 GN=mt-3a OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.17852	tr|O65216|O65216_WHEAT	1e-41	67/96(69.79)	144	COR39 GN=cor39 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.15420	tr|M0W1F7|M0W1F7_HORVD	1e-152	222/272(81.62)	438	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.15468	tr|Q93WM8|Q93WM8_HORVU	0.0	439/496(88.51)	897	Polyamine oxidase (Precursor) GN=bpao1 OS=Hordeum vulgare (Barley) PE=2 SV=1
T2_Unigene_BMK.25216	tr|F2DSK9|F2DSK9_HORVD	1e-71	107/109(98.17)	216	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.26897	tr|M0XGS3|M0XGS3_HORVD	0.0	293/303(96.70)	594	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.27222	tr|G3XDL3|G3XDL3_HORVD	0.0	327/337(97.03)	674	Putative iron-phytosiderophore transporter GN=HvYS2 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.27605	tr|M0YWR7|M0YWR7_HORVD	3e-44	75/81(92.59)	144	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.28232	tr|M0XL15|M0XL15_HORVD	1e-108	158/161(98.14)	310	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.2917	tr|M0Z727|M0Z727_HORVD	6e-71	111/117(94.87)	225	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.32446	tr|O65216|O65216_WHEAT	5e-66	117/233(50.21)	211	COR39 GN=cor39 OS=Triticum aestivum (Wheat) PE=2 SV=1
T2_Unigene_BMK.32690	tr|F2CS00|F2CS00_HORVD	7e-98	149/163(91.41)	290	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.34478	tr|K7V0C3|K7V0C3_MAIZE	1e-63	95/130(73.08)	198	Thioredoxin H-type 5 GN=ZEAMMB73_661487 OS=Zea mays (Maize) PE=4 SV=1
T2_Unigene_BMK.35829	tr|C6ES53|C6ES53_WHEAT	1e-141	201/201(100.00)	404	Class III peroxidase GN=Prx111-A OS=Triticum aestivum (Wheat) PE=3 SV=1
T2_Unigene_BMK.35965	tr|M0UXG1|M0UXG1_HORVD	3e-40	87/144(60.42)	147	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.36458	tr|M0X1Z1|M0X1Z1_HORVD	1e-157	222/230(96.52)	441	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.36896	tr|M0X090|M0X090_HORVD	2e-56	81/89(91.01)	176	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.38141	tr|M0YFK0|M0YFK0_HORVD	5e-77	119/144(82.64)	232	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.38980	tr|F2DBA7|F2DBA7_HORVD	3e-40	62/75(82.67)	135	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.39248	tr|M0YLZ8|M0YLZ8_HORVD	3e-60	90/92(97.83)	188	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.39723	tr|M0XZZ6|M0XZZ6_HORVD	2e-57	85/96(88.54)	181	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.40122	tr|M0XPB1|M0XPB1_HORVD	0.0	284/312(91.03)	531	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.40236	tr|F2E168|F2E168_HORVD	1e-42	67/69(97.10)	144	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.45715	tr|M0YET8|M0YET8_HORVD	1e-158	193/205(94.15)	389	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.46378	tr|M0Z5X9|M0Z5X9_HORVD	0.0	331/339(97.64)	682	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.46461	tr|F2D9R2|F2D9R2_HORVD	0.0	391/452(86.50)	781	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.47283	tr|I4IY17|I4IY17_HORVU	0.0	475/487(97.54)	953	Amino acid permease GN=aap1 OS=Hordeum vulgare (Barley) PE=2 SV=1
T2_Unigene_BMK.47331	tr|F2DQE5|F2DQE5_HORVD	3e-85	132/140(94.29)	259	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.47359	tr|F2DP49|F2DP49_HORVD	1e-164	228/239(95.40)	462	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.48181	tr|F2EIF7|F2EIF7_HORVD	0.0	274/358(76.54)	550	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.48960	tr|M0UF05|M0UF05_HORVD	1e-165	250/275(90.91)	474	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.49041	tr|I1IYK1|I1IYK1_BRADI	1e-179	260/305(85.25)	511	Uncharacterized protein GN=BRADI5G12650 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T2_Unigene_BMK.49447	tr|Q5DM36|Q5DM36_WHEAT	1e-171	240/313(76.68)	488	NAC domain transcription factor GN=NAC69-1 OS=Triticum aestivum (Wheat) PE=2 SV=1
T2_Unigene_BMK.49565	tr|D6QX85|D6QX85_WHEAT	0.0	369/379(97.36)	710	Cysteine synthase OS=Triticum aestivum (Wheat) PE=2 SV=1
T2_Unigene_BMK.49724	tr|F2E8I0|F2E8I0_HORVD	0.0	290/346(83.82)	601	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.49912	tr|M0WTA7|M0WTA7_HORVD	1e-180	250/258(96.90)	505	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T2_Unigene_BMK.50138	tr|F2DIE9|F2DIE9_HORVD	0.0	251/280(89.64)	515	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T2_Unigene_BMK.50162	tr|M0XTE6|M0XTE6_HORVD	0.0	441/483(91.30)	849	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
